demand_type,contribution_type,item,variant_id,units,value,source_field_id,source_label,excel_row
heating,loss,walls_ag,code_minimum,kWh,2546.62063871,heating_demand.walls_ag,Walls (AG),376
heating,loss,walls_bg,code_minimum,kWh,6.31016827827,heating_demand.walls_bg,Walls (BG),377
heating,loss,roofs,code_minimum,kWh,1297.90865175,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,code_minimum,kWh,1352.64412168,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,code_minimum,kWh,5450.92384433,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,code_minimum,kWh,6332.65539284,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,code_minimum,kWh,7108.92274603,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,code_minimum,kWh,18508.2802594,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,code_minimum,kWh,239.05763123,heating_demand.north,North,390
heating,gain,east,code_minimum,kWh,0,heating_demand.east,East,391
heating,gain,south,code_minimum,kWh,298.189447522,heating_demand.south,South,392
heating,gain,west,code_minimum,kWh,0,heating_demand.west,West,393
heating,gain,horizontal,code_minimum,kWh,0,heating_demand.horizontal,Horizontal,394
heating,gain,sum_opaque_areas,code_minimum,kWh,1349.26515278,heating_demand.sum_opaque_areas,Sum opaque areas,395
heating,gain,internal_gains,code_minimum,kWh,3846.52673684,heating_demand.internal_gains,Internal Gains,396
heating,limit,demand_limit,code_minimum,kWh,0,certification_limits.heat_demand_limit,Heat Demand Limit,363
cooling,loss,cooling_demand_2,code_minimum,kWh,3109.04049453,cooling_demand.cooling_demand_2,Cooling Demand,399
cooling,loss,walls_ag,code_minimum,kWh,290.703104109,cooling_demand.walls_ag,Walls (AG),400
cooling,loss,walls_bg,code_minimum,kWh,5.14877044247,cooling_demand.walls_bg,Walls (BG),401
cooling,loss,roofs,code_minimum,kWh,148.159513112,cooling_demand.roofs,Roofs,402
cooling,loss,floor_slabs,code_minimum,kWh,1103.68753507,cooling_demand.floor_slabs,Floor Slabs,403
cooling,loss,windows,code_minimum,kWh,622.236566264,cooling_demand.windows,Windows,407
cooling,loss,thermal_bridges,code_minimum,kWh,722.888423964,cooling_demand.thermal_bridges,Thermal Bridges,409
cooling,loss,ventilation_basic,code_minimum,kWh,461.056027303,cooling_demand.ventilation_basic,Ventilation (Basic),412
cooling,loss,ventilation_addn_l,code_minimum,kWh,81.1882170699,cooling_demand.ventilation_addn_l,Ventilation (Addn'l),413
cooling,gain,north,code_minimum,kWh,181.280647003,cooling_demand.north,North,414
cooling,gain,east,code_minimum,kWh,0,cooling_demand.east,East,415
cooling,gain,south,code_minimum,kWh,391.384269689,cooling_demand.south,South,416
cooling,gain,west,code_minimum,kWh,0,cooling_demand.west,West,417
cooling,gain,horizontal,code_minimum,kWh,0,cooling_demand.horizontal,Horizontal,418
cooling,gain,sum_opaque_areas,code_minimum,kWh,1165.8110903,cooling_demand.sum_opaque_areas,Sum opaque areas,419
cooling,gain,internal_gains,code_minimum,kWh,4054.61631527,cooling_demand.internal_gains,Internal Gains,420
cooling,limit,demand_limit,code_minimum,kWh,0,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
heating,loss,walls_ag,improved_envelope,kWh,2482.46711864,heating_demand.walls_ag,Walls (AG),376
heating,loss,walls_bg,improved_envelope,kWh,16.4492803969,heating_demand.walls_bg,Walls (BG),377
heating,loss,roofs,improved_envelope,kWh,1265.21221967,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,improved_envelope,kWh,641.101543747,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,improved_envelope,kWh,4678.90016437,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,improved_envelope,kWh,2112.82228317,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,improved_envelope,kWh,6391.34464651,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,improved_envelope,kWh,13118.8087445,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,improved_envelope,kWh,184.618764712,heating_demand.north,North,390
