section,field_id,phpp_label,variant_id,variant_name,datatype,units,value,excel_row
geometry,geometry.tfa,TFA,code_minimum,Code Minimum,TFA,m2,290.264447126,316
geometry,geometry.tfa,TFA,improved_envelope,Improved Envelope,TFA,m2,290.264447126,316
geometry,geometry.tfa,TFA,improved_hvac,Improved HVAC,TFA,m2,290.264447126,316
geometry,geometry.tfa,TFA,enerphit_by_component,EnerPHit by Component,TFA,m2,290.264447126,316
geometry,geometry.tfa,TFA,enerphit_by_demand,EnerPHit by Demand,TFA,m2,290.264447126,316
geometry,geometry.vv,VV,code_minimum,Code Minimum,VV,m3,725.661117815,317
geometry,geometry.vv,VV,improved_envelope,Improved Envelope,VV,m3,725.661117815,317
geometry,geometry.vv,VV,improved_hvac,Improved HVAC,VV,m3,725.661117815,317
geometry,geometry.vv,VV,enerphit_by_component,EnerPHit by Component,VV,m3,725.661117815,317
geometry,geometry.vv,VV,enerphit_by_demand,EnerPHit by Demand,VV,m3,725.661117815,317
geometry,geometry.vn50,Vn50,code_minimum,Code Minimum,Vn50,m3,725.661509672,318
geometry,geometry.vn50,Vn50,improved_envelope,Improved Envelope,Vn50,m3,725.661509672,318
geometry,geometry.vn50,Vn50,improved_hvac,Improved HVAC,Vn50,m3,725.661509672,318
geometry,geometry.vn50,Vn50,enerphit_by_component,EnerPHit by Component,Vn50,m3,725.661509672,318
geometry,geometry.vn50,Vn50,enerphit_by_demand,EnerPHit by Demand,Vn50,m3,725.661509672,318
geometry,geometry.building_envelope_area,Building Envelope Area,code_minimum,Code Minimum,Building Envelope Area,m2,391.633531677,319
geometry,geometry.building_envelope_area,Building Envelope Area,improved_envelope,Improved Envelope,Building Envelope Area,m2,391.633531677,319
geometry,geometry.building_envelope_area,Building Envelope Area,improved_hvac,Improved HVAC,Building Envelope Area,m2,391.633531677,319
geometry,geometry.building_envelope_area,Building Envelope Area,enerphit_by_component,EnerPHit by Component,Building Envelope Area,m2,391.633531677,319
geometry,geometry.building_envelope_area,Building Envelope Area,enerphit_by_demand,EnerPHit by Demand,Building Envelope Area,m2,391.633531677,319
geometry,geometry.gross_volume,Gross Volume,code_minimum,Code Minimum,Gross Volume,m3,943.359962573,320
geometry,geometry.gross_volume,Gross Volume,improved_envelope,Improved Envelope,Gross Volume,m3,943.359962573,320
geometry,geometry.gross_volume,Gross Volume,improved_hvac,Improved HVAC,Gross Volume,m3,943.359962573,320
geometry,geometry.gross_volume,Gross Volume,enerphit_by_component,EnerPHit by Component,Gross Volume,m3,943.359962573,320
geometry,geometry.gross_volume,Gross Volume,enerphit_by_demand,EnerPHit by Demand,Gross Volume,m3,943.359962573,320
geometry,geometry.window_area_north,Window Area (North),code_minimum,Code Minimum,Window Area (North),m2,30.9974323898,321
geometry,geometry.window_area_north,Window Area (North),improved_envelope,Improved Envelope,Window Area (North),m2,30.9974323898,321
geometry,geometry.window_area_north,Window Area (North),improved_hvac,Improved HVAC,Window Area (North),m2,30.9974323898,321
geometry,geometry.window_area_north,Window Area (North),enerphit_by_component,EnerPHit by Component,Window Area (North),m2,30.9974323898,321
geometry,geometry.window_area_north,Window Area (North),enerphit_by_demand,EnerPHit by Demand,Window Area (North),m2,30.9974323898,321
geometry,geometry.window_area_east,Window Area (East),code_minimum,Code Minimum,Window Area (East),m2,0,322
geometry,geometry.window_area_east,Window Area (East),improved_envelope,Improved Envelope,Window Area (East),m2,0,322
geometry,geometry.window_area_east,Window Area (East),improved_hvac,Improved HVAC,Window Area (East),m2,0,322
geometry,geometry.window_area_east,Window Area (East),enerphit_by_component,EnerPHit by Component,Window Area (East),m2,0,322
geometry,geometry.window_area_east,Window Area (East),enerphit_by_demand,EnerPHit by Demand,Window Area (East),m2,0,322
geometry,geometry.window_area_south,Window Area (South),code_minimum,Code Minimum,Window Area (South),m2,19.1798052484,323
geometry,geometry.window_area_south,Window Area (South),improved_envelope,Improved Envelope,Window Area (South),m2,19.1798052484,323
geometry,geometry.window_area_south,Window Area (South),improved_hvac,Improved HVAC,Window Area (South),m2,19.1798052484,323
geometry,geometry.window_area_south,Window Area (South),enerphit_by_component,EnerPHit by Component,Window Area (South),m2,19.1798052484,323
geometry,geometry.window_area_south,Window Area (South),enerphit_by_demand,EnerPHit by Demand,Window Area (South),m2,19.1798052484,323
geometry,geometry.window_area_west,Window Area (West),code_minimum,Code Minimum,Window Area (West),m2,0,324
geometry,geometry.window_area_west,Window Area (West),improved_envelope,Improved Envelope,Window Area (West),m2,0,324
geometry,geometry.window_area_west,Window Area (West),improved_hvac,Improved HVAC,Window Area (West),m2,0,324
geometry,geometry.window_area_west,Window Area (West),enerphit_by_component,EnerPHit by Component,Window Area (West),m2,0,324
geometry,geometry.window_area_west,Window Area (West),enerphit_by_demand,EnerPHit by Demand,Window Area (West),m2,0,324
geometry,geometry.window_area_horiz,Window Area (Horiz),code_minimum,Code Minimum,Window Area (Horiz),m2,0,325
geometry,geometry.window_area_horiz,Window Area (Horiz),improved_envelope,Improved Envelope,Window Area (Horiz),m2,0,325
geometry,geometry.window_area_horiz,Window Area (Horiz),improved_hvac,Improved HVAC,Window Area (Horiz),m2,0,325
geometry,geometry.window_area_horiz,Window Area (Horiz),enerphit_by_component,EnerPHit by Component,Window Area (Horiz),m2,0,325
geometry,geometry.window_area_horiz,Window Area (Horiz),enerphit_by_demand,EnerPHit by Demand,Window Area (Horiz),m2,0,325
envelope,envelope.floor_bg,Floor BG,code_minimum,Code Minimum,Ext. Wall - Front,hr-ft2-F/Btu,17.9,328
envelope,envelope.floor_bg,Floor BG,improved_envelope,Improved Envelope,Ext. Wall - Front,hr-ft2-F/Btu,17.9,328
envelope,envelope.floor_bg,Floor BG,improved_hvac,Improved HVAC,Ext. Wall - Front,hr-ft2-F/Btu,17.9,328
envelope,envelope.floor_bg,Floor BG,enerphit_by_component,EnerPHit by Component,Ext. Wall - Front,hr-ft2-F/Btu,19,328
envelope,envelope.floor_bg,Floor BG,enerphit_by_demand,EnerPHit by Demand,Ext. Wall - Front,hr-ft2-F/Btu,25,328
envelope,envelope.wall_bg,Wall BG,code_minimum,Code Minimum,Ext. Wall - Rear,hr-ft2-F/Btu,17.9,329
envelope,envelope.wall_bg,Wall BG,improved_envelope,Improved Envelope,Ext. Wall - Rear,hr-ft2-F/Btu,17.9,329
envelope,envelope.wall_bg,Wall BG,improved_hvac,Improved HVAC,Ext. Wall - Rear,hr-ft2-F/Btu,17.9,329
envelope,envelope.wall_bg,Wall BG,enerphit_by_component,EnerPHit by Component,Ext. Wall - Rear,hr-ft2-F/Btu,19,329
envelope,envelope.wall_bg,Wall BG,enerphit_by_demand,EnerPHit by Demand,Ext. Wall - Rear,hr-ft2-F/Btu,25,329
envelope,envelope.party_wall,Party Wall,code_minimum,Code Minimum,Floor,hr-ft2-F/Btu,1.8,330
envelope,envelope.party_wall,Party Wall,improved_envelope,Improved Envelope,Floor,hr-ft2-F/Btu,10,330
envelope,envelope.party_wall,Party Wall,improved_hvac,Improved HVAC,Floor,hr-ft2-F/Btu,10,330
envelope,envelope.party_wall,Party Wall,enerphit_by_component,EnerPHit by Component,Floor,hr-ft2-F/Btu,19,330
envelope,envelope.party_wall,Party Wall,enerphit_by_demand,EnerPHit by Demand,Floor,hr-ft2-F/Btu,20,330
envelope,envelope.wall_ag,Wall AG,code_minimum,Code Minimum,Roof - Deck,hr-ft2-F/Btu,31.3,331
envelope,envelope.wall_ag,Wall AG,improved_envelope,Improved Envelope,Roof - Deck,hr-ft2-F/Btu,31.3,331
